,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowD,SlowK,RSI,Chaikin A/D,OBV,Aroon Down,Aroon Up
2008-12-03,12.1838,96.23,88.8,47810000.0,81.4876,92.211,102.9344,93.3203,68.5946,68.042,50.599,1379019135.1077,1649534855.0,50.0,7.1429
2008-12-04,11.6133,95.21,89.06,38977500.0,82.1766,91.6165,101.0564,93.1384,67.8809,71.7665,46.6295,1369829318.0345,1610557355.0,42.8571,0.0
2008-12-05,11.9424,94.49,88.86,37278400.0,82.4852,91.3615,100.2378,93.2204,71.5086,74.7174,49.1096,1400618760.308,1647835755.0,35.7143,85.7143
2008-12-08,12.6691,100.8,95.8,42326500.0,82.3099,91.4355,100.5611,93.8394,73.2714,73.3304,54.1743,1424660212.308,1690162255.0,28.5714,100.0
2008-12-09,12.7123,103.6,97.21,42982000.0,81.9477,91.6445,101.3413,94.4319,76.6392,81.8699,54.4644,1420018963.4817,1733144255.0,21.4286,100.0
2008-12-10,12.4772,99.49,96.5,33501700.0,81.7877,91.8165,101.8453,94.7917,77.5069,77.3205,52.5164,1424836933.7159,1699642555.0,14.2857,92.8571
2008-12-11,12.0694,101.24,94.83,37164900.0,81.9714,92.0605,102.1496,94.8115,73.1934,60.3898,49.2263,1389643338.8641,1662477655.0,7.1429,85.7143
2008-12-12,12.4849,99.0,92.53,37184800.0,81.8743,92.152,102.4297,95.1409,63.3412,52.3133,52.4915,1418437132.9908,1699662455.0,0.0,78.5714
2008-12-15,12.0377,96.21,93.0,31848500.0,82.0796,92.3775,102.6754,95.1037,50.1856,37.8538,48.8497,1421314411.807,1667813955.0,0.0,71.4286
2008-12-16,12.1241,96.48,92.75,39053800.0,82.5544,92.742,102.9296,95.1348,41.7447,35.067,49.5775,1438380817.7051,1706867755.0,28.5714,64.2857
2008-12-17,11.3275,91.1,88.02,46209300.0,82.47,92.7045,102.939,94.5657,31.1928,20.6575,43.4401,1426378402.1207,1660658455.0,21.4286,57.1429
2008-12-18,11.3618,90.83,88.44,30622000.0,82.9337,92.8615,102.7893,94.0766,24.6593,18.2533,43.763,1421125255.6772,1691280455.0,14.2857,50.0
2008-12-19,11.4342,90.94,88.8,28640000.0,85.0495,93.337,101.6245,93.6884,17.9557,14.9564,44.4834,1424604881.8454,1719920455.0,7.1429,42.8571
2008-12-22,10.893,90.03,84.69,30169300.0,85.9462,93.495,101.0438,92.9314,16.0867,15.0505,40.3254,1406299913.3061,1689751155.0,100.0,35.7143
2008-12-23,10.9743,87.87,85.9,22679700.0,85.0045,93.1665,101.3285,92.3074,16.5218,19.5584,41.2144,1394672249.8543,1712430855.0,92.8571,28.5714
2008-12-24,10.804,86.25,84.55,9690500.0,84.0256,92.8785,101.7314,91.6153,16.3073,14.313,39.875,1390568038.0896,1702740355.0,100.0,21.4286
2008-12-26,10.9019,87.42,85.24,11011600.0,83.1119,92.419,101.7261,91.0624,17.2629,17.9172,41.0604,1385314797.7226,1713751955.0,92.8571,14.2857
2008-12-29,11.0035,87.62,85.07,24500000.0,82.4728,92.116,101.7592,90.6384,17.9632,21.6593,42.3325,1390406954.5854,1738251955.0,85.7143,7.1429
2008-12-30,10.9629,88.05,84.72,34557200.0,82.1007,91.984,101.8673,90.2242,25.0837,35.6746,41.9425,1388435222.4533,1703694755.0,78.5714,0.0
2008-12-31,10.8434,87.74,85.34,21697900.0,81.3359,91.628,101.9201,89.76,31.3516,36.7209,40.7549,1366918138.2866,1681996855.0,71.4286,7.1429
2009-01-02,11.5295,91.04,85.16,26643400.0,81.2628,91.3705,101.4782,89.8543,42.7966,55.9943,49.5863,1390933447.8104,1708640255.0,64.2857,0.0
2009-01-05,12.0161,96.18,92.71,42200300.0,81.3248,91.529,101.7332,90.3044,53.6058,68.1023,54.7396,1394217044.6404,1750840555.0,57.1429,0.0
2009-01-06,11.8179,97.17,92.39,46046800.0,81.3144,91.48,101.6456,90.563,68.934,82.7055,52.3905,1360308104.0546,1704793755.0,50.0,100.0
2009-01-07,11.5625,92.5,90.26,26894600.0,81.6081,91.0445,100.4809,90.6056,72.6487,67.1382,49.4462,1351423280.8403,1677899155.0,42.8571,92.8571
2009-01-08,11.7772,93.15,90.04,24053600.0,82.1444,90.6765,99.2086,90.805,69.7431,59.3857,51.8941,1368516031.9657,1701952755.0,35.7143,85.7143
2009-01-09,11.5079,93.38,90.14,19530200.0,82.4934,90.295,98.0966,90.7836,55.404,39.688,48.7078,1354290330.7311,1682422555.0,28.5714,78.5714
2009-01-12,11.264,90.99,87.55,22061300.0,82.4567,89.978,97.4993,90.5814,42.1238,27.2977,45.9558,1346466265.0335,1660361255.0,21.4286,71.4286
2009-01-13,11.1433,89.7399,86.35,28514200.0,82.913,89.45,95.987,90.3079,26.6017,12.8193,44.6126,1340831390.0873,1631847055.0,14.2857,64.2857
2009-01-14,10.8409,87.25,84.72,36488000.0,82.6844,88.979,95.2736,89.8338,17.5865,12.6427,41.3519,1321938394.0399,1595359055.0,7.1429,57.1429
2009-01-15,10.5931,84.12,80.05,65415500.0,82.3668,88.3765,94.3862,89.2192,14.1952,17.1236,38.8466,1363566439.4944,1529943555.0,100.0,50.0
2009-01-16,10.4597,84.38,80.4,37415200.0,81.4898,88.035,94.5802,88.5631,15.7961,17.622,37.5282,1362438343.012,1492528355.0,92.8571,42.8571
2009-01-20,9.935,82.0,78.2,32854100.0,79.6931,87.4735,95.2539,87.5761,16.6732,15.2741,32.8111,1329584243.012,1459674255.0,100.0,35.7143
2009-01-21,10.5233,82.88,79.31,38902500.0,79.1742,87.115,95.0558,87.1241,18.9655,24.0004,41.6637,1367397037.1297,1498576755.0,92.8571,28.5714
2009-01-22,11.2258,90.0,85.82,50340300.0,79.3138,87.246,95.1782,87.2418,28.3428,45.754,50.1174,1378235857.7038,1548917055.0,85.7143,21.4286
2009-01-23,11.2258,89.87,86.5,27277500.0,79.4091,87.345,95.2809,87.3483,48.0696,74.4545,50.1174,1381068832.4813,1548917055.0,78.5714,14.2857
2009-01-26,11.3885,90.97,88.3,24722800.0,79.653,87.575,95.497,87.5665,69.1571,87.2628,51.9852,1381161427.2378,1573639855.0,71.4286,7.1429
2009-01-27,11.5269,91.55,89.74,22072800.0,79.8283,87.821,95.8137,87.8678,83.7933,89.6624,53.5793,1383234563.1494,1595712655.0,64.2857,0.0
2009-01-28,11.9678,95.0,91.5,30764500.0,79.7653,88.2005,96.6357,88.4709,89.4385,91.3903,58.3229,1399935291.7209,1626477155.0,57.1429,100.0
2009-01-29,11.8153,94.34,92.6,21168900.0,79.9001,88.536,97.1719,88.9022,89.3572,87.0189,56.1847,1388499219.3071,1605308255.0,50.0,92.8571
2009-01-30,11.4507,93.62,90.01,23267100.0,80.241,88.775,97.309,89.0192,81.1441,65.0231,51.337,1366778962.5204,1582041155.0,42.8571,85.7143
2009-02-02,11.626,92.0,88.9,19937400.0,80.2375,88.813,97.3885,89.2564,66.9663,48.857,53.4182,1380413571.5526,1601978555.0,35.7143,78.5714
2009-02-03,11.8128,93.38,90.28,21403900.0,80.3465,88.733,97.1195,89.611,53.1807,45.6619,55.5967,1396293884.4558,1623382455.0,28.5714,71.4286
2009-02-04,11.8852,96.25,93.1,28872200.0,80.3158,88.7595,97.2032,89.9862,50.7215,57.6458,56.4472,1375670884.4558,1652254655.0,21.4286,100.0
2009-02-05,12.2549,97.25,92.62,26758800.0,79.9851,89.032,98.0789,90.6027,58.9569,73.5632,60.5969,1393298171.7129,1679013455.0,14.2857,100.0
2009-02-06,12.6691,100.0,97.0,24543200.0,79.3078,89.383,99.4582,91.471,71.6565,83.7606,64.6592,1413259974.3795,1703556655.0,7.1429,100.0
2009-02-09,13.0236,103.0,99.5,25536100.0,78.3923,89.9795,101.5667,92.5224,84.015,94.7214,67.726,1431645966.3795,1729092755.0,0.0,100.0
2009-02-10,12.429,102.51,97.06,30323600.0,78.3798,90.438,102.4962,93.0278,86.5849,81.2727,58.5482,1409890869.8658,1698769155.0,0.0,92.8571
2009-02-11,12.3007,98.31,95.77,24106200.0,78.596,90.8935,103.191,93.389,79.4206,62.2676,56.7605,1405714992.7004,1674662955.0,0.0,85.7143
2009-02-12,12.6119,99.75,95.83,29185300.0,79.0555,91.5905,104.1255,93.9491,63.2984,46.3548,59.9547,1427752872.2922,1703848255.0,0.0,78.5714
2009-02-13,12.5979,99.94,98.12,21749200.0,80.0258,92.3795,104.7332,94.4454,51.2919,45.2533,59.7413,1430859900.8637,1682099055.0,0.0,71.4286
2009-02-17,12.0097,97.04,94.28,24222800.0,81.5068,92.9895,104.4722,94.4534,41.4622,32.7783,51.4422,1411025289.2695,1657876255.0,28.5714,64.2857
2009-02-18,11.9894,95.85,92.72,24456400.0,84.5313,93.798,103.0647,94.4455,34.0971,24.2596,51.1776,1412353592.1449,1633419855.0,21.4286,57.1429
2009-02-19,11.5155,94.25,90.11,32957300.0,86.2388,94.1885,102.1382,94.0831,22.4885,10.4275,45.3249,1387834634.6569,1600462555.0,14.2857,50.0
2009-02-20,11.5867,92.4,89.0,26797000.0,86.7076,94.3305,101.9534,93.8085,16.9351,16.1182,46.3175,1395716105.2452,1627259555.0,7.1429,42.8571
2009-02-23,11.0467,92.0,86.51,28106500.0,86.3953,94.26,102.1247,93.1553,12.1463,9.8933,40.3331,1372114836.5749,1599153055.0,100.0,35.7143
2009-02-24,11.466,90.89,87.0,28825200.0,86.4932,94.2905,102.0878,92.8786,15.8184,21.4437,46.151,1391455137.8602,1627978255.0,92.8571,28.5714
2009-02-25,11.5816,92.92,89.25,29751900.0,86.5518,94.312,102.0722,92.7149,22.0344,34.7663,47.6664,1392671155.5714,1657730155.0,85.7143,21.4286
2009-02-26,11.3313,92.92,88.96,22495300.0,85.986,94.0615,102.137,92.3792,34.5067,47.31,44.7316,1372788945.9754,1635234855.0,78.5714,14.2857
2009-02-27,11.3465,91.3,87.67,25237800.0,85.5483,93.877,102.2057,92.0869,43.5331,48.523,44.9539,1370355549.2812,1660472655.0,71.4286,7.1429
2009-03-02,11.1725,91.2,87.67,27533200.0,85.1907,93.7675,102.3443,91.692,43.2076,33.7899,42.8354,1347034226.9016,1632939455.0,64.2857,0.0
2009-03-03,11.2271,90.74,87.88,25869300.0,84.7635,93.6105,102.4575,91.3756,35.5369,24.2978,43.7317,1330029232.496,1658808755.0,57.1429,0.0
2009-03-04,11.5828,92.77,89.45,26478700.0,84.6122,93.52,102.4278,91.356,30.0157,31.9595,49.3058,1330986293.9418,1685287455.0,50.0,14.2857
2009-03-05,11.2868,91.87,88.45,25246400.0,84.1463,93.2845,102.4227,91.1164,30.1903,34.3137,45.2856,1311497844.819,1660041055.0,42.8571,7.1429
2009-03-06,10.8371,88.4,82.33,36112400.0,83.0831,92.7265,102.3699,90.5624,35.2084,39.352,39.9552,1310724432.6279,1623928655.0,100.0,0.0
2009-03-09,10.5588,87.6,82.57,24939200.0,81.9486,91.896,101.8434,89.8527,31.0953,19.6202,37.0498,1291139971.3953,1598989455.0,92.8571,0.0
2009-03-10,11.2598,89.17,84.36,30152100.0,82.4481,91.2019,99.9556,89.736,30.3508,32.0801,47.423,1314490610.1687,1629141555.0,85.7143,0.0
2009-03-11,11.7747,94.07,89.58,30227600.0,82.6973,90.9444,99.1914,90.0164,34.5615,51.9841,53.4857,1326002680.5473,1659369155.0,78.5714,0.0
2009-03-12,12.2409,96.58,92.0,27444900.0,82.7385,90.9209,99.1032,90.6196,55.4511,82.289,58.1879,1350691105.8748,1686814055.0,71.4286,100.0
2009-03-13,12.1876,97.2,95.01,21470300.0,83.1436,90.7539,98.3641,91.1253,75.6316,92.6218,57.4719,1347259779.3908,1665343755.0,64.2857,100.0
2009-03-16,12.1228,97.39,94.18,28473000.0,83.6388,90.5669,97.4949,91.5344,88.8132,91.5287,56.5617,1340784611.1665,1636870755.0,57.1429,100.0
2009-03-17,12.6615,99.69,95.07,28094500.0,83.0048,90.8234,98.642,92.3082,92.0394,91.9678,61.9561,1368514247.5301,1664965255.0,50.0,100.0
2009-03-18,12.8978,103.48,99.72,28429900.0,82.1816,91.1809,100.1802,93.1855,90.889,89.1704,64.0644,1367304464.5514,1693395155.0,42.8571,100.0
2009-03-19,12.9105,103.2,100.25,17863600.0,81.6543,91.7299,101.8055,93.9888,89.5605,87.5434,64.1793,1366032818.4497,1711258755.0,35.7143,92.8571
2009-03-20,12.9067,103.11,100.57,24842400.0,81.3028,92.2494,103.1959,94.7127,85.8606,80.8681,64.1131,1361142582.2292,1686416355.0,28.5714,85.7143
